"survey_id","site_code","country","ecoregion","area","program","latitude","longitude","survey_date","depth","number_individuals","total_biomass","sp_richness","sp_evenness","shannon","size_cwm_total","size_cwm_biomass"
912351343,"PPH19","Australia","Bassian","Victoria","RLS",-38.32,144.71,2019-01-24,3,211,6171.371,40,0.410876931589169,2.19895504818318,6.67061611374408,19.2232170939002
912351344,"PS20","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.71,152.16,2019-02-09,5,109,7529.8928,44,0.753428668753034,3.53459598956527,11.5366972477064,24.7987450100219
912351345,"PS20","Australia","Manning-Hawkesbury","New South Wales","RLS",-32.71,152.16,2019-02-09,10,2352,42058.1971,106,0.288204202743052,2.23733536724301,7.16730442176871,17.1149192044183
912351346,"PPH-S1","Australia","Bassian","Victoria","RLS",-38.32,144.72,2019-02-04,3,16,1179.7505,14,0.9375,2.59930192709979,13.59375,17.7762779079136
912351347,"PPH-S1","Australia","Bassian","Victoria","RLS",-38.32,144.72,2019-02-04,3.1,16,1037.8799,12,0.863204882778696,2.39331212297452,12.5,18.5174079390111
912351348,"PPH-S2","Australia","Bassian","Victoria","RLS",-38.3,144.66,2019-02-04,4,38,6392.8544,22,0.811906826134606,2.95338103373462,17.8947368421053,24.0029415889716
912351349,"PPH-S2","Australia","Bassian","Victoria","RLS",-38.3,144.66,2019-02-04,4.1,15,3675.8825,12,0.884735489142249,2.39590811929393,22.8333333333333,30.0683074744636
912351350,"PPH-S17","Australia","Bassian","Victoria","RLS",-38.28,144.64,2019-02-04,8,50,9371.0591,35,0.888339553862429,3.4752047713416,18.95,34.2144080331326
912351351,"PPH-S17","Australia","Bassian","Victoria","RLS",-38.28,144.64,2019-02-04,8.1,57,9253.8352,30,0.805611721750572,3.25712949300602,19.3859649122807,27.7179258336046
912351352,"PPH-S4","Australia","Bassian","Victoria","RLS",-38.31,144.8,2019-02-05,4,51,5889.8452,29,0.825335545387443,3.24507545295286,14.5588235294118,20.7874323250465
912351353,"PPH23","Australia","Bassian","Victoria","RLS",-38.31,144.71,2019-02-05,13,27,2645.8463,19,0.869491888359784,2.8657034203479,14.0740740740741,19.9207074122182
912351354,"PPH19","Australia","Bassian","Victoria","RLS",-38.32,144.71,2019-02-05,3,45,1696.1681,22,0.770855768880485,2.9343877404204,10.1111111111111,18.9558540807365
912351355,"PPH20","Australia","Bassian","Victoria","RLS",-38.31,144.7,2019-02-05,1.5,47,1359.8337,22,0.661943903423066,2.54858173223091,10,26.8554939843012
912351356,"PPH-S5","Australia","Bassian","Victoria","RLS",-38.28,144.66,2019-02-06,5,13,1013.2367,10,0.859582436003937,2.20478541691352,10.9615384615385,19.6727615570972
912351357,"PPH-S5","Australia","Bassian","Victoria","RLS",-38.28,144.66,2019-02-06,5.1,12,1042.0685,10,0.90701901811629,2.25385758960135,12.7083333333333,21.0465125373236
912351358,"PPH-S10","Australia","Bassian","Victoria","RLS",-38.29,144.62,2019-02-06,7,41,13120.7745,27,0.865656813178626,3.21467896077242,23.780487804878,37.8397118249384
912351359,"PPH-S10","Australia","Bassian","Victoria","RLS",-38.29,144.62,2019-02-06,7.1,29,8717.4807,23,0.909463683078982,3.062433267556,22.2413793103448,33.3960568734038
912351360,"PPH-S7","Australia","Bassian","Victoria","RLS",-38.29,144.62,2019-02-06,6,78,9206.2375,30,0.65674017458183,2.86122571544232,12.7884615384615,29.1314249985404
912351361,"PPH-S7","Australia","Bassian","Victoria","RLS",-38.29,144.62,2019-02-06,6.1,100,8662.6944,36,0.606006317605925,2.79076222635924,10.925,27.8833613246244
912351362,"PPH-S6","Australia","Bassian","Victoria","RLS",-38.28,144.63,2019-02-06,6,83,17865.8104,37,0.732377310547439,3.23625860007588,16.4759036144578,32.1678600149031
912351363,"PPH-S6","Australia","Bassian","Victoria","RLS",-38.28,144.63,2019-02-06,6.1,28,2730.0084,13,0.745444643363965,2.48397400270335,13.4821428571429,19.400969242439
912351364,"PPH-S13","Australia","Bassian","Victoria","RLS",-38.3,144.61,2019-02-07,4,85,13462.9852,50,0.840502688384481,3.7340603246348,18.7941176470588,24.5484048738314
912351365,"PPH-S13","Australia","Bassian","Victoria","RLS",-38.3,144.61,2019-02-07,4.1,57,8424.3182,35,0.848816593115433,3.43180900295436,17.8070175438597,24.8854866973092
912351366,"PPH-S18","Australia","Bassian","Victoria","RLS",-38.29,144.61,2019-02-07,7,65,8240.3167,33,0.77844376000678,3.249525722102,14.9615384615385,23.7694602502353
912351367,"PPH-S18","Australia","Bassian","Victoria","RLS",-38.29,144.61,2019-02-07,7.1,16,5268.2458,12,0.875,2.42601513195981,22.34375,30.8961713119004
912351368,"PPH-S11","Australia","Bassian","Victoria","RLS",-38.29,144.63,2019-02-07,7,80,10672.9258,28,0.522234341187245,2.28844479262388,17.46875,22.9595512132203
912351369,"PPH-S11","Australia","Bassian","Victoria","RLS",-38.29,144.63,2019-02-07,7.1,64,19634.1872,27,0.72625152219072,3.02039516990319,22.5390625,32.4376146698856
912351370,"PPH40","Australia","Bassian","Victoria","RLS",-38.27,144.65,2019-02-08,6,130,4439.2875,33,0.469429701102373,2.28496524218287,6.48076923076923,22.5535417564192
